573,583,573,579,577,579,577,583	I
571,577,589,573,592,588,573,591	21
308,563,479,559,480,592,309,596	which
85,595,85,554,251,556,251,597	attack
506,531,510,468,600,474,600,537	eque
51,515,52,461,152,463,151,517	but
322,515,323,458,491,460,490,517	make
162,520,168,453,303,464,297,531	only
289,440,291,375,403,378,401,442	any
81,374,277,369,279,426,83,431	access
1,426,4,369,69,372,66,429	ot
419,366,593,361,595,422,421,426	under
62,336,68,268,231,281,225,349	study
352,278,599,277,600,334,352,335	black-bo
257,335,259,271,335,273,333,337	of
412,188,583,184,585,240,414,245	white
126,251,128,181,402,189,400,259	fapplying
44,242,48,177,122,181,118,246	Jofa
28,83,29,73,41,75,40,85	the
49,72,49,69,52,69,52,72	the
175,70,178,67,181,70,178,73	a
27,43,196,42,197,101,28,102	k-box
170,46,423,44,423,94,170,96	XATTACK
