479,264,480,240,579,242,578,265	shows
143,236,228,235,229,264,143,265	other
238,236,358,234,359,263,238,265	models
388,262,389,235,466,239,464,265	This
62,235,129,233,129,264,63,265	fool
255,192,415,188,416,221,256,226	examples
62,216,62,186,245,189,245,219	adversarial
429,191,593,187,594,217,430,221	generated
436,160,436,159,438,159,438,160	the
302,138,447,132,449,169,303,176	previous
460,140,544,137,545,165,461,168	work
62,136,281,135,281,166,62,167	classification,
167,113,168,111,169,112,168,114	I
163,112,163,111,164,111,164,112	I
559,116,559,94,600,96,600,118	M
470,99,470,98,471,98,471,99	the
334,114,334,89,442,92,441,118	across
460,116,460,87,544,87,544,116	OCR
60,121,61,85,314,89,313,125	Transferability
280,35,281,34,282,35,281,36	the
280,34,280,33,281,33,281,34	the
278,36,278,32,282,32,282,36	the
448,24,503,23,504,53,449,54	not
512,53,512,24,600,26,600,54	trans
274,22,387,21,388,54,274,55	lletters
395,22,440,22,440,56,395,56	do
102,55,103,20,281,24,280,58	findividuall
62,54,62,21,102,21,102,54	ofi
430,1,434,1,434,3,430,3	-
306,3,306,1,308,1,308,3	-
256,3,256,1,258,1,258,3	-
574,2,574,1,580,1,580,2	-
420,2,420,1,421,1,421,2	-
288,3,288,0,303,0,303,4	-
240,1,254,0,254,3,240,3	--
588,2,588,0,596,0,596,2	-
557,2,557,0,568,0,568,2	-
445,2,445,0,448,0,448,2	-
442,0,445,0,445,2,442,2	-
99,4,99,0,127,0,127,4	year
