170,176,170,175,171,175,171,176	I
38,160,180,158,180,182,38,184	subsystems.`
0,180,0,160,36,160,36,180	ent
95,141,95,140,96,140,96,141	the
104,146,104,126,138,126,138,146	sani
139,123,262,123,262,149,139,149	integrated
60,146,60,123,102,124,102,147	has
8,124,56,124,56,146,8,146	also
80,91,179,91,179,113,80,113	compute
37,110,38,90,77,91,76,111	the
182,111,182,89,230,89,230,111	and
6,110,6,89,34,90,33,111	2x
1,58,78,58,78,76,1,76	mance
83,55,250,55,250,73,83,74	enhancements
0,20,104,20,104,42,0,42	hardware
107,20,210,19,210,44,107,45	platform,
