451,262,451,244,493,244,493,262	use
388,245,447,244,447,261,388,262	public
276,243,348,242,349,261,276,262	opened
101,243,193,242,193,259,101,259	DALL-E2
231,265,232,239,274,241,273,266	sjust
195,261,196,240,232,241,231,263	ehas
353,260,353,240,384,241,383,261	Ifor
305,229,305,212,356,212,356,229	since
440,229,440,211,517,211,517,229	DALL-ED
103,227,103,212,211,213,210,228	dimensions
557,211,592,211,592,229,557,229	the
397,233,397,210,438,210,438,233	just
359,231,360,210,397,211,396,232	enotj
519,212,554,210,554,228,520,230	but
216,213,298,210,299,231,217,234	yourself,
395,199,395,183,428,183,428,199	are
320,199,321,182,344,183,344,200	as
347,200,347,180,391,180,391,200	they
102,198,102,182,181,182,180,198	artifacts
184,182,208,181,210,199,186,201	sas
539,180,584,180,584,198,539,198	Now
432,181,532,180,532,198,432,199	ridiculous.
214,182,316,181,316,197,214,198	impressive
383,151,437,149,438,171,383,172	tyears
440,167,440,151,468,151,468,167	on
316,165,316,150,380,151,380,166	recent
101,153,187,151,188,168,101,170	moment,
191,170,191,147,289,147,288,171	pespeciallying
508,166,509,148,592,150,591,167	internet,
471,148,505,148,505,166,471,167	the
291,167,291,147,315,147,315,167	vinr
542,135,542,120,570,120,570,135	on
308,135,308,119,399,120,399,136	astronaut
100,137,101,114,164,117,163,140	Marge
261,118,301,117,302,135,261,136	that
484,118,538,118,539,134,484,135	horse
165,138,166,117,257,119,256,140	Simpson,
403,134,404,115,464,119,462,138	triding.
573,135,573,117,600,117,600,135	the
224,97,224,95,228,95,228,97	the
249,107,249,86,369,86,369,107	velociraptor
493,103,493,86,552,86,552,104	Travis
374,104,374,85,448,86,448,104	dressed
556,105,556,85,599,85,599,105	Bick
102,88,248,86,248,104,102,106	descriptions.A
454,86,489,85,489,103,454,104	like
526,77,526,55,596,56,596,77	engine
192,57,244,56,245,72,192,73	now-f
242,73,242,55,315,57,315,74	-famous
320,73,320,56,523,56,523,73	artificial-intelligence
101,75,101,54,189,55,188,76	OpenAl's
364,41,365,24,393,26,391,44	lon
223,48,223,23,261,23,261,48	lanyt
265,26,309,25,309,40,265,42	time
583,41,583,25,600,25,600,41	ha
455,41,456,22,518,25,518,44	Imedia,
395,42,395,23,452,24,452,43	social
312,25,334,24,335,42,313,43	at
161,46,161,23,221,23,221,46	spend
525,46,525,22,578,22,578,46	,you'll
101,45,101,23,157,24,157,46	Ifyous
338,23,362,22,363,41,338,42	all
