148,516,148,513,151,513,151,516	I
148,514,148,510,151,510,151,514	-
122,469,265,461,270,547,127,555	We
566,484,566,481,569,481,569,484	the
320,483,320,480,324,480,324,483	the
289,549,290,450,600,455,600,554	further
482,348,600,346,600,410,483,412	ou
224,350,442,342,444,403,226,411	even
0,328,180,317,184,399,0,410	AR
309,241,309,238,312,238,312,241	the
282,226,282,223,286,223,286,226	the
0,272,2,181,150,189,145,281	alts
175,191,354,190,355,270,176,271	ofI
313,172,600,170,600,274,313,276	Indist
57,130,59,48,461,58,459,139	between
490,130,493,43,600,46,600,134	the
