1,599,1,574,184,575,184,599	erturbation
76,551,76,521,190,523,189,553	across
0,551,0,518,63,518,63,551	fool
205,552,205,517,250,517,250,552	all
6,479,6,478,10,478,10,479	a
10,480,10,476,23,476,23,480	a
113,468,246,461,248,506,115,513	equally
43,466,102,465,103,498,43,498	not
104,449,104,411,251,411,251,450	targeted
28,410,93,407,94,443,29,445	and
62,389,63,358,175,361,174,392	across
185,390,186,361,236,361,235,391	tar-
0,392,0,357,50,357,49,393	ies
0,226,0,191,64,194,62,228	tary
70,219,70,186,236,187,236,220	materials.
4,144,4,143,6,143,6,144	-
42,134,161,130,162,167,44,171	attack
171,133,247,132,248,165,172,166	Ad-
0,133,34,131,36,166,0,168	d
100,103,100,101,101,101,101,103	the
0,85,75,84,76,112,0,113	ance
87,76,252,74,253,115,87,116	variation
188,58,188,33,233,33,233,58	on
86,37,86,36,88,36,88,37	the
32,59,33,22,175,25,174,62	56.98
164,3,164,2,165,2,165,3	-
65,2,69,2,69,4,65,4	the
157,4,157,0,178,1,178,5	14
106,2,117,0,118,2,107,5	the
209,4,209,0,241,0,241,4	was
180,0,210,0,210,4,180,4	From:
71,0,91,0,92,4,71,5	the
