56,208,58,181,96,184,94,211	vmyi
1,204,1,183,54,183,54,204	elow
102,204,102,182,157,182,157,205	feet.
318,166,318,147,364,147,364,166	was
421,166,421,146,453,146,453,166	an
532,167,533,143,599,145,598,169	villag
0,143,74,143,74,167,0,167	eadow,
457,143,528,143,528,166,457,167	entire
192,166,192,142,243,142,243,166	that
369,143,416,142,417,165,370,167	still
83,163,84,144,185,148,184,168	knowing
248,143,312,142,312,164,249,165	there
185,119,185,118,186,118,186,119	the
186,119,186,117,188,117,188,119	the
566,125,566,107,600,108,599,126	.wa
140,128,142,102,185,106,183,131	sky,
428,105,512,104,512,125,428,126	behind
253,104,360,103,360,130,253,131	Nuraghe
83,125,84,102,137,104,136,127	blue
37,125,37,104,78,104,78,125	the
516,127,516,103,564,103,564,127	land
8,126,8,104,33,104,33,126	in
177,108,247,102,249,125,178,131	yileft
362,127,363,100,425,102,424,129	Losab
0,61,0,42,23,42,23,61	New
531,64,531,39,600,39,600,64	Nurag
443,60,444,39,526,42,526,63	bronze
161,40,234,40,234,61,161,62	found
28,63,28,40,93,40,93,64	triple
313,61,313,39,386,40,386,62	hands
267,39,308,39,308,61,267,61	the
98,62,99,38,155,39,155,63	flute
238,61,238,38,262,38,262,61	lin
390,62,390,37,419,37,419,62	of
6,13,6,12,7,12,7,13	-
1,15,1,8,11,8,11,15	a
23,7,83,4,83,20,23,22	worn
546,26,548,0,600,2,598,29	bagp
423,22,423,1,469,2,469,22	and
502,2,542,1,542,21,502,22	the
268,22,268,0,417,1,417,22	celebrations
121,21,121,0,162,1,161,22	the
166,21,166,2,261,2,261,21	carnival
471,0,497,0,498,22,472,23	lin
89,0,116,0,116,22,89,23	lat
