570,176,570,175,571,175,571,176	I
438,159,579,158,579,184,438,184	subsystems.
196,159,287,158,288,183,196,183	smultiple
8,179,8,159,73,160,73,179	which
290,160,436,159,436,180,290,181	independents
78,160,194,157,195,182,78,185	comprises
74,147,74,127,145,127,145,147	power
505,145,506,126,538,127,538,146	sani
150,144,150,123,258,125,258,146	envelope
539,148,540,123,598,124,598,149	integ
32,145,32,125,70,126,70,146	the
460,125,502,124,502,147,461,148	has
408,124,456,124,456,146,408,146	also
263,124,335,123,335,144,263,145	Grand
341,126,402,124,403,144,341,146	Teton
1,145,1,123,28,124,28,146	2x
209,98,213,98,213,99,209,99	the
17,111,17,93,46,93,46,111	as
208,100,208,97,213,97,213,100	the
478,91,579,89,579,113,478,114	compute
220,91,274,91,274,109,220,109	-GPU
54,96,54,95,55,95,55,96	the
438,90,476,90,476,110,438,110	the
124,109,125,89,175,90,174,111	host-
275,92,399,89,400,111,276,114	bandwidth,
82,110,82,90,121,91,121,111	the
184,109,185,89,213,90,212,110	-to-
406,110,407,89,434,90,434,111	,2x
47,109,49,88,80,91,78,112	4xt
0,59,43,59,43,74,0,74	prm
482,74,483,54,599,56,598,76	enhancement
333,57,480,55,480,75,333,78	performance
193,77,193,55,235,55,235,77	has
238,54,328,54,329,76,238,77	multiple
49,73,49,54,120,55,120,74	Grand
125,74,125,54,188,54,188,74	Teton
243,34,243,33,244,33,244,34	mother
19,23,59,23,59,40,19,40	our
593,28,593,27,594,27,594,28	-
123,23,249,18,250,38,124,43	-generation,
395,22,502,22,502,38,395,38	hardware
506,21,600,16,600,42,508,47	eplatform
256,22,389,20,389,38,256,39	GPU-based
62,40,63,18,112,19,112,40	next
