514,595,514,592,517,592,517,595	and
500,591,500,587,503,587,503,591	the
564,586,591,580,595,597,568,600	a
530,584,530,580,534,580,534,584	:
114,574,338,571,338,600,114,600	oenerated
37,600,37,567,101,567,101,600	be
346,600,350,564,444,574,440,600	CONFIDERS
489,600,491,567,542,570,540,600	16
385,547,385,504,432,504,432,547	et
149,504,378,501,379,550,150,553	(Donahue
39,499,136,497,137,556,40,558	ples
523,501,583,500,584,545,524,546	2011
441,547,442,498,516,500,515,549	al.
468,447,597,436,600,478,472,490	gener
291,437,395,437,396,480,291,481	tend
43,487,43,435,278,435,278,487	WaveNet)
403,482,404,437,458,438,457,483	Ito
468,416,469,371,592,375,591,419	2017;
321,419,321,375,372,375,372,419	iet
149,372,314,370,315,421,149,423	(Mehri
381,375,457,371,459,417,384,421	al.
41,373,134,371,136,415,42,417	tion
437,354,438,315,494,317,493,355	or
148,356,148,314,428,315,428,356	spectrogram
502,364,503,305,595,308,594,366	raligi
39,354,40,308,133,310,132,357	mel
450,289,450,246,598,246,598,289	wavefor
44,250,159,248,160,284,45,286	Most
234,243,434,239,435,289,235,293	previous
171,291,172,241,228,242,227,292	tof
374,147,554,142,556,192,376,198	(Kumar
189,188,190,148,357,151,356,191	models
38,146,181,143,182,191,39,194	based
370,132,370,83,525,83,525,133	(VAE)
43,91,352,85,353,126,44,132	auto-encoder
536,127,536,83,599,83,599,127	ba
500,22,598,21,598,59,500,60	train
46,21,149,19,150,57,47,59	flow
147,62,148,19,305,21,304,64	v-based
314,62,314,16,488,16,488,62	models
