43,183,175,182,175,214,43,215	Space
183,214,184,180,411,182,410,216	Telescope
89,127,90,110,186,114,185,131	telescope
1,112,48,111,49,127,1,128	build
53,129,53,110,87,110,87,129	the
0,100,1,81,89,84,88,103	stronomy
210,82,276,82,276,100,210,100	Centre
93,100,94,79,205,82,205,103	yTechnology
279,104,280,81,369,82,369,105	(UKATC)
372,101,373,81,394,82,392,102	in
165,75,165,56,227,56,227,75	power
438,72,439,55,464,56,463,73	Dr
258,72,258,53,319,54,318,73	James
321,56,381,54,381,74,322,75	Webb,"
129,54,162,53,162,72,129,72	the
65,70,66,53,125,54,125,71	shows
394,72,395,53,436,54,435,73	'said
23,51,62,51,63,72,23,72	and
230,73,230,52,254,52,254,73	rof
382,61,383,52,391,53,390,61	II
192,28,279,26,280,44,192,46	presence
306,45,308,25,336,28,335,48	fupt
24,43,24,24,65,25,65,44	140
420,43,420,25,477,25,476,44	shells.
69,28,150,27,150,40,69,42	revealed
363,42,363,23,417,24,416,43	three
338,25,361,24,361,43,338,44	to
155,42,155,25,188,26,188,43	the
0,43,0,24,22,24,22,43	VR
282,43,283,23,306,23,306,44	eof
