539,373,539,346,600,346,600,373	we
294,332,514,329,515,371,295,374	evidence
41,335,280,334,280,371,41,371	analvtical
501,262,598,261,598,304,501,306	stea
62,305,62,258,152,258,152,305	and
166,302,169,245,481,260,478,317	functionality
255,230,255,182,425,184,424,232	attacks
0,233,0,183,244,183,244,233	malicious
511,114,563,113,563,158,512,159	to
1,155,1,113,187,113,187,155	nerated
391,156,392,109,502,110,501,157	tend
197,153,198,108,380,113,379,158	Imodels
490,45,598,45,598,82,490,83	man
0,47,212,32,216,84,0,99	ompared
361,37,472,34,473,80,362,82	their
231,36,341,36,341,82,231,82	with
538,9,538,6,541,6,541,9	I
536,8,536,6,539,6,539,8	I
587,8,587,6,589,6,589,8	the
571,6,590,5,590,10,571,11	and
349,7,349,5,351,5,351,7	the
533,3,560,1,561,14,534,16	ICE
480,8,480,2,510,2,510,9	-
236,6,237,0,354,2,353,14	CONCESSIONAL
9,7,9,0,44,1,44,7	14.
395,0,436,0,437,9,396,10	the
60,6,224,2,224,9,60,13	Apple
