66,308,66,307,68,307,68,308	I
183,314,183,299,243,299,243,314	Nature
3,315,3,298,54,298,54,315	lished
111,298,177,297,177,315,111,316	journal
78,315,79,297,111,298,110,316	the
60,298,74,298,75,313,61,314	in
1,288,1,273,99,273,99,288	oundation's
106,288,106,273,183,273,183,288	NOIRLab
188,271,221,271,222,289,189,289	and
225,289,225,271,262,271,262,289	lead
173,247,239,246,239,265,173,265	system,"
3,248,83,248,83,261,3,262	roduction
288,264,289,247,312,248,312,265	Dr
135,246,168,246,168,263,135,263	this
90,246,131,246,131,262,90,263	from
249,262,250,245,284,246,284,263	said
100,219,100,203,134,204,133,219	are
46,203,95,202,95,218,46,219	shells
10,218,11,201,42,202,42,219	the
42,177,43,156,87,157,87,178	spart.
0,159,15,159,16,174,0,174	ys
16,174,17,155,42,156,41,175	its
95,134,163,133,163,150,95,151	pattern,
237,132,285,132,285,151,238,152	angle
7,147,9,129,91,133,90,152	bull's-eye
288,151,288,132,309,132,309,151	at
201,132,233,131,233,149,202,149	the
168,132,199,131,199,147,169,148	but
57,78,57,64,104,64,104,78	move
10,65,51,64,51,78,10,79	stars
218,81,219,62,264,64,263,83	daway
107,78,108,62,177,63,177,79	towards
266,63,308,61,309,79,267,80	from
182,79,182,62,216,62,216,79	and
199,51,200,37,239,39,238,53	dust
44,54,45,35,156,37,155,57	Interestingly
2,54,2,37,39,37,39,54	cles.
161,37,195,34,196,52,162,55	this
