47,365,47,363,49,363,49,365	the
29,379,29,355,58,355,58,379	0
64,353,64,352,66,352,66,353	mother
63,353,63,352,65,352,65,353	:
58,356,58,349,74,349,74,356	-
548,298,548,297,550,297,550,298	the
516,289,516,287,518,287,518,289	the
496,274,496,272,498,272,498,274	the
490,273,490,271,492,271,492,273	the
481,273,481,271,483,271,483,273	-
569,269,569,268,571,268,571,269	the
569,266,569,264,571,264,571,266	the
510,264,510,261,512,261,512,264	I
567,259,567,257,569,257,569,259	-
508,257,508,255,510,255,510,257	the
151,245,151,243,156,243,156,245	the
333,315,334,223,595,226,594,317	samp
544,234,544,232,546,232,546,234	I
189,233,189,231,192,231,192,233	-
547,232,547,230,549,230,549,232	I
545,232,545,229,547,229,547,232	I
526,240,528,216,580,221,577,245	the
73,202,319,196,321,294,76,301	Both
417,133,417,130,419,130,419,133	the
416,133,416,130,417,130,417,133	the
417,131,417,129,419,129,419,131	the
416,131,416,129,417,129,417,131	the
303,130,303,128,305,128,305,130	the
303,128,303,126,305,126,305,128	the
301,130,301,124,304,124,304,130	the
302,125,302,123,304,123,304,125	the
44,119,45,116,47,117,45,120	the
45,117,46,115,48,116,47,118	the
47,116,48,113,50,114,48,117	the
45,116,46,113,48,114,47,117	the
44,116,45,113,47,114,45,117	a
45,114,46,112,48,113,47,115	the
38,111,39,109,41,110,39,112	I
134,146,135,86,230,87,230,147	In
47,99,47,98,49,98,49,99	I
53,95,53,93,56,93,56,95	the
52,95,52,93,54,93,54,95	the
50,95,50,93,53,93,53,95	the
48,95,48,93,51,93,51,95	the
50,93,50,91,53,91,53,93	the
57,93,57,91,59,91,59,93	the
48,93,48,91,51,91,51,93	the
1,134,13,70,68,80,56,145	To
252,49,448,44,451,161,255,166	150]
