233,266,234,225,300,225,300,267	or
19,270,19,217,220,217,220,270	scores
420,231,420,230,422,230,422,231	the
420,230,420,228,422,228,422,230	the
434,206,600,206,600,269,434,269	tlabel
315,209,436,207,437,265,316,267	soft
227,167,227,166,228,166,228,167	I
331,165,331,163,333,163,333,165	I
242,164,242,163,243,163,243,164	a
395,145,395,143,397,143,397,145	a
105,133,105,132,106,132,106,133	the
379,171,380,114,600,118,600,175	Anothe
241,131,241,130,242,130,242,131	the
0,177,0,109,361,118,359,186	model[50]
194,84,194,41,428,43,427,85	success
88,51,88,50,89,50,89,51	the
80,52,80,50,88,50,88,52	-
79,51,79,48,89,48,89,51	-
77,49,77,47,78,47,78,49	the
76,49,76,47,77,47,77,49	the
75,49,75,47,76,47,76,49	I
91,48,91,46,93,46,93,48	Webber's
88,48,88,46,89,46,89,48	I
90,45,94,45,94,47,90,47	-
87,45,90,45,90,47,87,47	the
0,32,178,29,179,85,0,87	rantee
440,87,440,24,557,24,557,87	due
