392,181,392,180,393,180,393,181	the
384,179,395,176,397,182,385,185	the
399,175,399,174,400,174,400,175	the
400,174,400,173,401,173,401,174	the
397,176,397,171,402,171,402,176	the
79,167,79,166,80,166,80,167	the
393,164,393,163,394,163,394,164	-
180,153,180,152,182,152,182,153	the
172,153,172,152,173,152,173,153	-
439,179,439,139,528,139,528,179	we
546,139,598,139,598,180,546,181	SE
166,147,166,146,168,146,168,147	the
323,146,323,145,324,145,324,146	the
322,146,322,145,323,145,323,146	the
318,147,318,145,323,145,323,147	with
167,146,167,145,168,145,168,146	the
213,144,216,144,216,145,213,145	-
241,145,241,143,243,143,243,145	-
241,144,241,143,243,143,243,144	-
18,144,18,141,20,141,20,144	WHITE'S
176,142,176,141,177,141,177,142	the
17,144,17,141,19,141,19,144	:
0,179,2,127,94,131,92,182	fier.
121,179,124,115,414,126,412,190	Formally
463,76,463,72,468,72,468,76	the
179,57,179,56,180,56,180,57	I
173,57,173,56,174,56,174,57	the
0,89,0,32,92,32,92,90	the
479,36,552,32,556,88,482,92	of
103,96,103,27,472,27,472,96	distribution
