62,589,69,578,78,584,70,595	is
419,599,419,575,569,577,568,600	Tesseract
103,577,343,572,344,600,104,600	misrecoonized
356,600,356,573,403,573,403,600	bv
353,531,397,530,397,556,354,557	an
411,550,411,529,585,530,585,551	adversarial
103,557,104,526,332,530,331,561	Consequently
233,497,233,493,236,493,236,497	the
219,499,247,474,264,493,236,518	it.
58,507,58,471,212,473,211,509	rounding
283,428,443,424,444,455,284,459	particular
61,430,234,428,235,453,61,455	recognizes
457,424,540,422,541,453,458,455	word
551,457,551,421,597,421,597,457	de
132,413,133,375,210,377,209,415	vary
411,408,411,376,449,376,449,408	to
60,406,60,375,125,375,125,406	and
457,408,458,371,549,373,548,410	input.
312,408,313,371,401,373,400,410	input
220,405,220,373,301,373,301,405	from
535,266,535,235,598,235,598,266	train
64,237,175,236,175,264,65,265	trained
238,235,293,234,293,266,238,267	the
184,235,232,233,233,267,186,270	lont
300,243,520,238,520,261,300,266	contaminated
583,209,583,206,586,206,586,209	I
572,214,584,196,600,206,589,224	pe
493,185,547,182,549,216,495,219	the
300,217,301,186,442,188,442,220	(dashed)
134,187,281,182,283,212,135,218	poisoned
61,217,61,183,125,183,125,217	and
62,165,62,137,218,138,217,165	formance
454,136,564,134,564,164,454,165	trained
338,165,338,133,441,135,441,166	model
274,166,274,133,328,133,328,166	the
227,167,228,131,271,132,270,168	coff
198,115,200,86,340,92,339,121	accuracy
348,94,397,90,399,118,350,122	on
404,117,404,86,464,86,464,117	test
584,94,587,91,592,96,588,99	)
62,115,63,83,184,86,183,118	fication
471,85,549,84,549,116,472,117	data.
59,36,169,33,170,75,60,78	Figure
454,38,595,35,596,63,454,66	spoisoned
224,37,397,34,398,66,225,68	Proportion
409,65,412,31,450,35,446,69	nof
