0,501,38,500,38,520,0,521	can
581,518,581,503,597,503,597,518	sa
414,499,496,499,496,523,414,523	deeper
223,519,223,498,310,499,310,520	started
316,523,317,495,408,499,407,527	digging
43,520,43,498,216,498,216,520	archaeologists
530,520,530,496,572,496,572,520	the
502,520,502,497,526,497,526,520	in
0,458,72,457,72,487,0,488	argely
492,481,493,458,574,459,573,482	Miguel
77,482,77,459,185,460,185,484	unknown
348,459,432,459,433,482,348,482	beyond
271,460,340,459,340,480,271,481	world
439,483,439,457,486,457,486,483	San
222,457,265,456,266,482,222,483	the
190,459,218,457,220,481,192,483	to
590,433,590,430,593,430,593,433	I
231,433,231,429,234,429,234,433	c
231,430,231,427,234,427,234,430	-
112,423,211,421,212,439,112,441	fortunes
295,441,295,422,404,423,404,442	recorded.
62,448,62,418,110,418,110,448	danyf
415,440,415,421,566,421,566,441	Unexcavated
244,442,244,420,289,420,289,442	not
0,444,0,418,59,418,59,444	ound
577,440,577,420,598,420,598,440	Ifo
224,437,227,420,238,422,236,439	is
183,403,183,382,240,382,240,403	even
4,383,124,381,124,403,4,404	structures
513,405,513,380,566,381,565,406	with
473,409,474,379,512,380,511,410	pup
405,382,470,380,470,404,406,406	them
342,380,401,380,401,404,342,404	blow
247,403,247,379,304,379,304,403	tried
132,404,132,379,179,379,179,404	and
308,403,308,379,336,379,336,403	to
14,355,14,350,16,350,16,355	mother
1,347,19,346,20,362,2,364	e
373,368,373,341,448,341,448,368	spoke
292,365,292,343,369,343,369,365	others
98,344,211,341,212,367,99,370	pyramids,
24,365,24,342,94,344,93,368	stone
486,363,486,342,564,342,564,363	hidden
220,343,285,342,285,363,221,365	while
452,342,480,341,481,364,453,365	Norm
420,324,420,305,534,305,534,325	rumoured
342,325,342,302,413,302,413,325	Some
132,323,133,304,219,305,219,324	outside
64,305,124,303,125,325,65,327	ruins
544,325,544,303,595,303,595,325	that
225,325,225,301,284,303,284,326	their
286,330,288,300,337,303,335,333	rcity.
19,325,19,302,59,302,59,325	the
0,242,63,241,63,263,0,264	gone.
590,215,590,212,593,212,593,215	a
587,215,587,212,591,212,591,215	-
581,219,581,203,597,203,597,219	W
486,220,486,200,571,200,571,220	edifices
5,219,5,200,131,200,131,219	mistakable
362,219,362,200,475,202,475,222	timeworn
228,199,299,197,300,218,228,221	touch.
139,220,139,199,221,200,220,221	human
305,196,356,193,357,221,307,224	The
214,163,322,161,323,183,215,185	pyramids,
336,161,423,160,423,179,336,181	smaller
534,159,596,159,596,182,535,183	well-
89,182,89,159,154,160,153,183	other
160,181,161,156,210,159,208,184	two
0,160,32,159,33,183,0,184	d.
481,158,529,157,530,183,482,184	less
431,183,432,157,478,159,477,184	and
35,158,83,157,84,182,36,183	The
459,147,459,121,519,121,519,147	rock,
400,144,400,121,455,122,455,145	dark
146,122,225,120,226,141,147,143	etched
333,122,392,120,392,145,333,146	hard
68,146,69,121,136,123,135,148	lsteps,
3,122,64,121,64,142,4,143	ntical
524,120,572,119,573,144,525,144	,had
285,145,286,119,329,120,329,145	the
232,118,281,116,282,143,233,145	dinto
391,104,391,85,438,85,438,104	was
443,105,443,84,477,84,477,105	no
188,101,188,86,310,89,310,103	structures,
321,82,388,81,388,104,321,105	there
116,103,116,82,181,82,181,103	three
0,83,33,81,34,104,0,106	est
482,102,482,81,553,82,553,103	doubt
69,104,69,82,111,82,111,104	the
38,104,38,79,65,79,65,104	toff
0,19,51,16,52,45,0,48	nge.
