440,380,440,377,442,377,442,380	I
189,355,249,354,250,405,189,406	to
423,408,423,348,600,349,600,409	model
261,353,409,350,410,400,262,402	OCR
0,349,179,341,183,416,0,424	ppliedt
3,270,114,267,115,316,4,319	ned
135,316,138,262,224,266,222,320	for
244,321,244,263,600,263,600,321	classification
426,193,598,175,600,227,431,244	genera
0,233,0,179,92,181,91,235	neir
108,231,108,184,327,186,326,232	method
339,232,341,176,412,178,410,235	lof
567,154,568,131,587,131,586,155	p
0,147,0,104,69,105,68,148	ns
257,105,471,103,471,144,257,146	amount
154,96,243,93,245,145,156,148	the
79,148,80,92,149,93,148,149	soft
481,147,483,91,551,93,549,149	toff
451,54,451,52,453,52,453,54	the
442,52,442,50,448,50,448,52	-
43,61,45,19,114,22,112,64	an
419,74,421,4,600,11,600,80	timpro
312,10,417,7,418,60,313,63	that
125,14,300,8,302,63,127,69	attackt
