365,591,365,582,368,582,368,591	I
49,600,49,572,165,573,165,600	against
177,600,177,571,337,571,337,600	Tesseract
356,599,356,571,413,571,412,600	We
0,600,0,570,40,570,40,600	rk
2,524,117,524,117,551,2,552	enerate
128,519,298,519,298,559,128,559	ephysically
307,552,307,523,407,523,407,552	realiz-
126,425,164,425,165,453,127,454	as
176,455,176,417,309,419,308,456	lighting,
34,423,113,420,114,452,35,455	such
333,452,333,419,415,419,415,452	scal-
360,403,360,377,406,378,405,404	ac-
2,400,2,372,86,372,86,400	rated
159,406,159,371,263,371,263,406	taking
279,369,346,368,347,401,280,402	into
95,408,96,367,147,368,146,410	by
274,339,274,336,277,336,277,339	and
272,339,272,336,275,336,275,339	the
114,354,114,319,233,319,233,354	images
4,319,105,317,106,355,5,357	digital
256,352,257,316,352,318,351,355	15,02,00
351,318,404,317,405,355,352,356	130,
360,302,360,271,413,271,413,302	the
174,301,174,270,303,271,303,302	realized
30,305,31,270,161,274,160,308	feasibly
314,302,314,268,355,268,355,302	in
0,223,69,222,69,250,0,251	vork
308,251,308,222,414,222,414,252	robust
79,250,79,222,299,224,299,252	demonstrated
129,157,222,156,222,185,129,185	work
17,153,115,152,115,185,17,186	future
218,135,218,113,316,113,316,135	across
0,107,81,105,82,134,0,136	sarial
87,137,89,104,206,108,205,142	limages
323,104,411,103,412,137,323,138	SOCR
87,57,226,52,227,85,89,91	possible
44,56,79,56,79,90,44,90	is
237,56,275,54,277,88,240,90	to
289,55,414,52,414,84,290,86	achieve
352,39,353,12,404,14,403,40	un
1,37,1,6,77,6,77,37	nuch
208,8,281,6,282,36,209,38	than
89,9,194,6,194,34,90,37	harder
292,38,292,4,346,4,346,38	for
