402,573,402,524,560,526,560,575	signals
258,522,390,521,390,567,258,568	audio
0,580,0,519,248,522,247,583	igh-quality
34,486,34,483,36,483,36,486	and
81,475,130,475,130,510,81,510	g.,
27,474,34,472,39,489,32,491	the
149,466,578,463,578,499,149,502	spectrogram-based
14,426,14,423,17,423,17,426	the
276,399,446,393,448,437,277,443	speech
468,443,472,390,545,396,541,449	III)
0,449,0,391,260,394,259,452	igh-fidelity
0,341,96,340,97,373,1,374	nore
487,377,488,334,534,335,533,377	et
108,377,108,330,296,330,296,378	analysis
363,374,368,324,477,335,472,385	Ping
304,375,304,330,359,330,359,375	in
543,331,599,327,600,372,546,376	al.
509,310,509,274,600,275,600,311	moo
3,274,164,270,165,311,4,315	ontrast
338,309,339,267,500,269,500,311	v-based
241,268,351,265,351,307,242,309	flow
173,268,227,266,229,312,175,314	to
303,218,303,215,306,215,306,218	the
402,208,589,199,591,245,404,254	parallel
0,246,0,203,66,203,66,246	nal
333,250,333,202,390,202,390,250	in
85,208,319,203,320,241,86,246	waveform
419,182,420,146,523,149,522,185	over
528,193,529,146,600,147,600,194	rpre
146,183,148,136,406,143,405,191	ladvantages
1,142,137,141,138,180,2,182	everal
493,102,493,95,506,95,506,102	a
523,121,523,84,600,84,600,121	ver
30,75,222,71,223,123,31,127	propose
235,117,236,73,459,79,458,123	DiffWave
446,3,574,2,574,17,446,17	auguin
138,6,423,2,423,25,138,29	mightfirmer
58,2,125,1,125,19,58,20	101
0,21,0,0,48,0,48,21	ICE
