428,595,428,574,478,574,478,595	query
430,374,430,355,499,356,499,375	feasible
369,374,369,356,411,356,411,374	from
0,355,0,336,19,336,19,355	re
45,350,45,335,116,335,116,350	obtained
122,355,128,333,148,338,142,360	by
15,309,96,307,96,326,16,328	foperation
121,326,121,309,148,309,148,326	At
264,306,314,304,315,323,265,325	RERO
312,311,313,289,399,293,398,315	Expans
503,298,506,290,515,293,512,301	I
399,307,399,286,498,287,497,308	[L(ft),y)
270,304,270,288,306,288,306,304	min
510,287,596,286,596,306,511,308	HEL(FORT
0,243,37,239,39,261,1,265	o(x)
247,231,339,229,339,248,247,250	optimizing
465,230,548,230,549,248,465,249	objective
375,246,376,228,461,232,460,251	following
215,250,218,228,242,231,239,253	*by
343,230,372,228,373,247,344,249	the
466,215,466,211,469,211,469,215	I
566,222,566,208,600,208,600,222	asso
327,209,446,206,446,220,327,222	parameterized
211,205,263,204,263,224,212,225	trojan
455,223,455,207,472,207,472,223	by
267,222,267,205,322,205,322,222	model
503,221,504,203,537,203,537,222	and
536,223,538,200,565,202,563,225	dits
27,196,27,182,67,182,67,196	over
0,198,0,182,25,182,25,198	ax
454,194,455,176,541,182,539,200	adversary
227,197,227,178,280,180,279,199	target
577,196,578,179,600,180,599,197	eatter
546,198,546,178,575,178,575,198	,the
329,196,329,178,392,178,392,197	desired
282,177,326,176,326,196,282,196	class
194,178,225,177,225,197,195,198	the
394,199,396,176,420,178,418,201	dbyt
420,177,452,176,452,197,421,198	the
51,155,145,155,145,171,51,172	categorical
524,172,524,152,591,153,591,172	training
356,173,356,151,415,152,415,174	letting
16,153,46,152,46,171,17,172	the
422,173,423,149,458,152,457,175	Dim
488,171,488,151,518,151,518,171	the
264,170,265,150,347,153,346,174	Formally
459,151,482,151,482,170,459,170	be
418,138,418,135,422,135,422,138	I
416,138,416,135,418,135,418,138	I
96,130,149,129,150,149,96,150	space
510,147,510,128,600,129,600,149	trigger-em
31,145,31,128,87,128,87,145	search
435,146,436,125,502,127,501,149	feeding
410,141,410,129,425,129,425,141	bv
324,126,398,125,398,145,324,145	function
232,127,316,127,317,143,232,144	malicious
1,145,1,127,24,127,24,145	the
194,126,225,125,226,144,195,145	the
43,117,43,104,141,105,141,118	architecture,
301,117,301,103,359,103,359,118	victim;
390,118,390,100,471,101,471,119	inference
367,118,367,102,386,102,386,118	at
7,120,7,101,36,101,36,120	the
559,100,600,100,600,120,560,121	adve
476,119,476,101,520,101,520,119	time
236,122,238,99,260,100,259,123	by
195,118,196,98,234,100,233,120	task
263,100,295,98,296,119,264,122	the
525,99,557,98,558,119,526,121	the
251,87,251,83,255,83,255,87	I
566,84,566,82,568,82,568,84	<
251,84,251,80,255,80,255,84	I
282,76,343,75,343,97,283,98	trigger
248,87,252,79,264,84,260,92	to
440,93,440,75,489,75,489,93	which
345,76,408,74,408,95,345,96	pattern
559,91,559,76,575,76,575,91	in
411,91,411,76,431,77,430,92	r*,
579,93,579,75,599,75,599,93	the
195,94,195,73,244,73,244,94	sitive
513,92,513,72,556,72,556,92	sused
493,93,493,73,510,73,510,93	is
100,60,100,57,103,57,103,60	I
110,52,152,49,154,75,112,78	press
93,65,93,54,108,54,108,65	m
377,68,377,50,460,52,459,69	adversary
538,69,538,50,592,50,592,69	trojan
464,69,464,47,521,48,520,70	forges
260,67,260,48,318,48,318,67	model
196,70,196,47,257,47,257,70	benign
2,49,62,49,62,65,2,66	nected
341,48,373,45,374,66,342,69	,the
0,41,0,27,33,27,33,41	rom
574,25,600,25,600,42,574,42	via
491,42,492,23,565,25,564,44	training,
40,38,40,26,145,26,145,39	intermediate
423,42,423,23,487,24,486,43	During
316,41,316,23,398,23,398,41	injection
219,40,219,23,308,24,308,41	Backdoor
