459,600,459,584,497,584,497,600	mvv
416,600,416,584,454,584,454,600	low
379,600,379,583,423,583,423,600	belo
250,600,250,584,373,584,373,600	unearthed
500,582,550,581,550,600,500,600	feet
370,565,371,544,472,546,471,567	meadow,
249,564,249,542,361,545,361,567	flowering
482,565,483,539,583,543,582,569	knowing
298,526,300,504,345,508,344,530	sun
539,529,541,500,592,505,590,534	esky,
482,503,536,502,536,526,483,527	blue
435,527,435,503,478,503,478,527	the
347,531,347,501,403,501,403,531	high
247,502,296,502,296,526,248,527	The
498,459,498,438,554,438,554,459	flute
250,458,251,439,368,441,367,460	launeddas,
427,437,492,437,492,462,427,463	triple
378,437,423,436,423,462,378,463	,the
559,460,559,437,598,437,598,460	fou
423,422,423,403,482,403,482,422	worn
565,402,599,401,600,422,565,423	cars
340,422,341,400,417,400,417,423	Imasks
518,423,518,399,563,399,563,423	the
248,400,333,398,334,421,248,423	horned
490,421,490,400,515,400,515,421	at
469,383,469,361,513,361,513,383	not
516,387,517,359,576,361,575,389	titaly."
332,383,332,360,439,361,439,384	""Sardinia
248,383,248,360,326,360,326,383	island
465,345,466,324,504,325,503,345	am
272,346,272,324,311,324,311,346	lam
508,343,508,324,573,324,573,343	sarda
315,324,357,322,358,344,315,346	not
363,344,363,321,443,322,443,345	Italian,
400,279,400,258,561,258,561,279	manifestation
296,260,391,258,392,279,296,281	physical
571,279,572,256,599,257,598,280	NO.
245,280,246,255,291,256,291,281	the
503,246,503,217,562,218,562,247	past,
300,222,418,220,418,236,300,238	reminders
245,244,245,216,295,216,295,244	just
456,216,500,215,500,242,457,243	ftp
566,240,566,216,600,216,600,240	,bu
424,217,455,216,456,241,425,242	of
483,198,483,182,594,182,594,198	thousands
431,202,431,178,474,178,474,202	the
296,199,297,178,420,181,420,201	Sardinians,
246,176,292,175,292,203,246,204	For
389,100,389,74,534,75,534,102	Streitberger)
336,98,336,74,385,75,385,99	Kiki
246,98,248,72,333,77,332,102	(Credit:
560,58,561,39,599,40,599,59	scu
248,60,249,37,373,38,373,62	Mysterious
381,38,556,37,556,60,382,60	3,000-year-olds
